Vin,Dealer_ID
WAUHE98P89A958480,6
2G4GS5ECXB9501068,23
4JGBB2FB4AA066405,9
1C4SDJCTXCC848964,4
1C3ADEAZ0DV952013,25
WAUDFAFC2DN585841,18
4JGBF2FE3AA776832,26
WAUPL68E55A859365,11
1G6DC67A780523704,12
5N1AZ2MG1FN406650,22
WAUED64B71N657274,8
WA1CGBFE0CD494102,17
WAUEH98E76A940699,23
WBA4A5C52FD324701,18
JTJHY7AX3E4373546,11
WBA5A5C54ED571933,15
1FMJK1K55AE186869,23
WAUFEAFMXDA091707,28
WAUDFAFL4EN336779,19
JM1NC2JFXD0339902,19
KMHGH4JH5CU394669,19
WVGEF9BPXED442783,4
1C4SDJCT6EC550222,16
WAUDF48H08K624914,8
1G6DM57N340538270,20
3C3CFFHH2DT095571,27
JN8AF5MR3ET073043,17
WDCGG0EB3DG053142,10
WAUXL58E04A609587,16
WBALL5C53EE100805,4
WAUVT58E44A292176,3
1D7CE2BK4AS348887,12
WBA6B2C52DD134656,10
1C3CDFBAXDD242730,28
2G4WD552061951524,28
WAUVT68E65A699665,19
WA1CFBFPXDA355280,28
WBAYF4C5XED090643,7
1C4RDJDG5DC024100,26
1G4HR54K644796040,15
TRUSC28N721436150,27
JTHBL5EF8F1713109,18
WAUEH94F87N227674,20
1FTMF1C83AK085264,3
1FMCU4K39AK105053,14
KM8JT3AB9BU899669,23
JN8AZ2KR8AT733709,26
1FADP3E2XEL197747,18
WBAKP9C50ED587507,14
WBAUU3C54BA967154,12
1G4GA5EC3BF790160,15
5N1AA0NC0BN758300,23
5N1AA0NC6CN667128,17
5N1AL0MM7EC892015,11
3GYVKLEF4AG787959,20
WAUEH98E88A623887,24
SALGR2VF7EA184019,29
19UUA65695A087818,2
5FRYD4H98GB641327,6
WP0AB2A80FK654637,28
2HNYD18795H592364,9
1FTEW1CM7EF598520,20
TRUTC28N321274232,17
WAUVC68E64A585650,12
5UXZV4C58D0541129,9
WAU2GAFC7CN760359,11
2G4WD582361767125,8
WBAUT9C55CA731488,4
WAUDT74F05N327571,7
WA1CGBFE5ED437946,16
2LMHJ5AR3AB606466,22
2G4GS5EC5B9021262,12
JTHCL5EF1F5067019,12
2HNYD2H68CH691543,17
3D7TP2CT2BG527102,8
WAUFGAFC5FN895068,4
3C3CFFDR9DT268663,26
2LMHJ5AT3CB946392,9
5UXZV4C54D0863539,2
3VW517AT9FM421531,14
WBADS33481G048900,1
1GYUCBEF6AR960366,23
1G6DV5EP8A0447895,7
WBAUP93519V102476,23
1GYS3HEF2ER186438,27
WBAPM77569N098686,16
WP0CA2A87AS246740,17
1FTEW1E88AF290248,23
5UXKR2C56F0403070,21
WAUEF98E16A224273,24
1GYS4HKJ9FR089292,13
2G61U5S34D9025169,28
1D4PU2GK8AW971416,20
3D73M4EL6BG849646,16
WBAGK93431D922135,3
WAUAFAFH9EN985671,19
1FTEX1C88AF970117,16
1D7RB1GT8AS689269,3
JN8AS5MT0DW853196,5
1N6AF0KY0FN266083,25
2FMPK4J95FB247009,15
2G4GN5EK3C9166543,27
2HNYD18692H639296,2
5FNYF3H29BB103611,3
SCFEBBAC7AG934686,15
3N1AB6AP7BL052943,4
1N6AF0LX3FN789751,26
2C3CCARG6DH937175,12
WAUKF68E35A955206,17
1G6DV57V690828023,21
3VW8S7AT3FM926815,10
WBAPN7C52BF386577,1
WAUKGBFB7BN852423,9
1G6AF5SX1E0344201,17
1G4HD5EM9AU415288,29
JA4AS3AW2DU024473,20
5FPYK1F27CB536954,20
WBAGN83515D710270,18
WBA3V9C5XEP769188,16
1N6AD0CU4EN210714,30
KMHHT6KJ3FU272462,23
WBA1F5C5XFV800403,17
JN1BY1ARXFM494215,5
3D73M4CL6AG080888,20
3C4PDDGG9FT945442,1
WAUDFAFL1AN293030,1
2T1BU4EE1BC189985,19
WBAWB33578P334068,24
JN8AF5MRXBT757535,9
1G6AH5S38E0016250,23
WBA3C1C52CA198660,10
5TFCM5F18AX943261,27
1G6DD1E39E0039288,6
2C3CDXCT0DH301681,16
JH4CU4F64DC997799,6
KMHGC4DE9AU842652,13
YV1612FS0E2676188,8
5LMJJ3J54DE045215,10
WBAVL1C5XDV497462,16
1G6DP57VX90227580,21
2C4RDGCG7DR452472,24
WBADT53432C650542,4
5N1AA0NC5FN474103,27
WAUNF98P26A638762,19
JN1AZ4EH3CM353090,28
WAUBFAFL3BN191558,8
1GYS4CEF9DR622734,17
WP0AD2A73EL628009,10
WAUMFAFL2CA204981,5
2G4WD582191455535,3
1FTEX1CM6BK551091,10
5N1BA0NC1FN409446,15
4T1BD1FK2FU112940,20
JN1AY1AP4CM518336,20
SALAB2D48AA474791,22
WAUHMAFC8EN881567,27
KNAFU6A2XC5689633,24
5TDBK3EH3BS833262,2
WAUDG98E86A406433,1
WBAKB0C58CC879872,12
1D4PU4GK4BW037749,29
5UXKS4C57F0961459,10
WAUWFBFL4BA131559,23
1G4GF5G33EF670586,19
WBAEN33435E682905,7
2HNYD18786H008540,21
WAUNF98P38A334097,14
2B3CL5CT5BH649820,10
2T1BURHE7EC879737,29
1FTEW1CM3CK641092,22
5FPYK1F26DB182913,18
WAUEH78E67A045260,28
WBAEU33494P573600,5
WAULF78K69N581852,19
19UUA66278A308901,23
WVWAP7AN7DE600302,24
WBAPH5C55BA979276,10
WAUDL64F75N665155,30
2C3CCAKG0FH510975,20
WAULT58E73A135473,29
5UXZW0C5XBL667185,27
WBA3V7C53FP507955,30
WBAWC3C56AP029535,19
3C63DRKL6CG554356,9
JN8AF5MR6ET208208,19
WDDDJ7CB9AA988997,14
KMHD35LH9FU528365,22
2HNYD18811H568210,12
19UUA66257A366245,8
3D73Y4HL9BG158837,25
KNAFT4A27C5460673,22
KNAFT4A23D5344839,17
WBAEP33443P399912,15
JH4CU2E63BC222929,18
WAULK98K49A517663,2
WBAEW53435P738029,1
WBAVC53548A720664,11
WAUEH98E07A999904,2
WBAYE4C52FD305050,26
WBABD33435P237364,4
1FBAX2CM4FK327669,24
KMHTC6AD3CU324156,8
WVGDP9BP9ED916893,12
SCFFDAAM9DG308417,20
WAUDF98E18A130697,20
WA1CMAFE1ED612244,19
WBANU5C51AB566086,10
JM3TB2BV2E0972970,25
WAUKF78E48A918885,23
3N1AB6AP6CL520372,13
KNDJT2A23D7423529,26
JN8AZ2KR1BT903393,23
1GYFK13279R911226,10
JN8AZ2KR4ET572958,16
WBAPK53579A864156,4
5GADX33L96D888786,12
WBAGN834X3D911251,21
2G4WF521X41857685,26
3N1CE2CP3FL722645,2
2LMHJ5ATXFB931179,12
1G6AB5SX7E0068831,10
3CZRE3H37AG512080,15
KNADM4A37C6907073,22
JH4CU4F46AC481213,3
JH4KA96514C082384,8
WAUEFAFL6CN589233,2
JA32X8HW3AU972728,15
WBALW7C54ED150217,26
1GD02ZCG5CF541761,10
JTHBK1EG3C2025335,29
1C4RDJAG2CC349175,2
WBAKE3C51DE015051,11
WAUNF68P96A667545,11
SAJWA4ECXBM744283,24
WAURFAFR6BA224725,6
1C6RD6HT5CS735926,12
WBAFR7C5XDC518814,11
WBAKE5C51CE224350,12
3D7JV1EPXAG812426,19
5YMKT6C56F0634343,16
3VW1K7AJ9CM225420,24
WA1VMAFP0EA074437,2
1G6YX36D385416765,29
WVGEF9BP3DD308602,13
1G6DG5EY8B0259656,21
1G6DK67V980846139,4
2G4WD582481964419,13
JTHSE5BC9F5306736,6
2T1BU4EE3DC723135,6
WBAWB33557P365222,22
WAUPEBFM2CA912372,27
1G4PP5SK4C4425011,23
WAULT58E35A084976,3
WBAYB6C50FD951028,17
W04GW5EV9B1027137,6
1FADP3E25EL280938,28
3GYFNCE34CS825921,8
KMHEC4A40FA683743,20
JN1AZ4EH3DM372529,17
3GYFK66N76G256936,8
3N1AB6AP5BL429530,14
1GYUKKEF1AR647230,16
SAJWJ1CD1F8550136,6
3N1CN7AP3EK929427,16
1FTEW1CW9AF186160,11
WBAYF8C54FD553546,13
WVWED7AJ2AW014703,1
JTHBL5EF5A5489346,12
JTHBL5EF7F5688051,11
KMHGC4DD8CU115612,3
1GYS3JEF7DR362907,29
4T1BB3EK0BU097626,15
KMHHU6KJ0FU522480,9
19UUA66294A301636,22
SCBFR7ZA3DC915078,12
WDDEJ8GB6AA362019,1
1G6DK5EG5A0351991,7
WAUBGAFB5AN112524,22
1C3BC5ED0AN588886,28
3D7JB1EP3BG001772,20
1GYS3EEJ4DR269385,5
WBA3T1C57FP696712,5
19UUA66278A247582,20
WA1LFBFP3BA236449,9
4T1BK1EB9EU555379,1
WAUGL78E87A480918,16
3N1CN7AP6DL428525,28
WAUYGAFC9CN542062,9
1GYS4PKJ4FR547492,15
YV4902BZ5E1438509,11
2G4GT5GC7B9313036,24
WAUEF78EX8A426987,24
1FA6P0G78E5829911,17
JTEBU5JR1F5984936,19
WAUEH54B31N097803,2
WA1CFAFP9EA316577,13
4T1BF1FK8FU236057,27
4USBT334X3L022133,20
4T1BF3EK7BU036259,10
3CZRE3H34AG069547,12
WBAWL735X9P480213,10
1C4RDHAG9FC801314,28
WBADX7C54DJ157136,5
WBAYA8C56FD937357,8
2C3CCASG8FH712043,21
5TDDK3DC6FS750655,25
1G6KE54Y35U990698,28
19VDE2E59EE729429,26
SALGS2TF7FA762032,9
WBAYB6C55FG097491,16
JN8CS1MW6FM472303,16
VNKKTUD33FA224417,28
WAUCFAFR5EA791521,9
1D7RB1CT4BS556869,16
1FTNF1E85AK356889,3
WA1C8AFP7EA867892,6
WA1EY94L97D160737,29
WBABD33405P304809,20
2D4RN7DG3BR773694,6
4T1BD1FK5FU275498,1
WBANV1C55AC334879,29
1G6KD57957U882867,22
3C3CFFCR3CT339405,7
5N1AN0NW4DN784559,30
WAUML54B62N159609,24
1FMEU7FE2AU049399,10
2C4JRGAG4DR695531,22
1D7RB1CPXBS390151,26
1G6AX5SX6E0914349,12
2HNYD18843H545877,28
2C3CCAFJ7DH319248,8
3C4PDCEG9CT013573,11
2C3CCAAG1EH089137,10
3VWPG3AG8AM369613,11
WBAKF5C54DJ376774,16
JN1AZ4EH7CM031505,18
SAJWA0FA2AH627536,21
WBA3B5C58DP532733,23
JN8CS1MW0FM943829,25
SAJWA4EC6DM130382,9
3D4PH6FG8BT947830,30
137ZA903X1E002655,11
19UUA75527A341093,4
1C3CDFDH9ED880303,5
JN8AE2KP7E9217631,16
1FTEX1CM6DK144150,25
3MZBM1K7XEM860566,19
WBAWC73558E551537,1
WAUPFAFM9AA730866,4
1GYFK63898R656384,23
WBA8Z5C54FD394095,30
1HGCR2E55EA678331,28
3D73Y3CL2BG676970,9
JN8AZ1MU6DW622316,8
3N1AB6AP4AL739537,5
3C4PDCAB8DT790838,30
WAUJT54B62N884565,1
WBAWB33557P931105,13
1GKUKGEJ2AR752886,15
WBAEJ13493A309467,27
JM3TB2BA1B0273709,4
2C3CCAPG9DH337432,12
WBAUC73589V790735,12
2HNYD2H68DH614446,5
JH4CL96946C473730,24
WA1CMAFE4ED682661,8
2HNYD2H26AH411368,8
WAUJFAFH1BN798680,3
SCBDR33W48C473843,27
WBAVM1C50FV588837,17
3N1CN7AP3EL271456,15
WAULD54B62N575474,1
1FMCU0F73FU709991,7
JTHBE5C2XD5260711,3
JM1NC2LF1C0721103,17
3C4PDDGG3FT010224,18
WAUWMAFC2FN077225,16
1J4NF1GB8BD187706,9
JN8AZ2KR1CT523679,22
1N6BF0KM3FN575998,8
WAUEH74F67N083711,27
19XFA1E80BE873916,28
WBADT43432G096485,11
2G4GS5GX2E9375678,6
3GYFNCE38DS891941,30
WAUWGAFC2FN344046,25
1G6DK8E38C0986088,28
1C4RDJAG8DC378536,30
JN8AS5MT9DW734661,8
1FTEX1CMXBF824459,4
WBADX1C54DJ585575,29
1GD422CG0EF313324,15
WAULFAFH5DN453826,27
WAUWG74F89N479892,30
5N1AT2MLXEC253808,29
3VWML7AJ9CM017760,1
1D7RE5GK5BS858431,23
1G4GJ5G34CF240089,14
2C4RDGCGXER080918,8
JTHBE1BL1FA550154,22
2G4WB52K631493655,26
1FMJK1J5XAE960292,26
1C6RD6LP2CS528033,29
1FTMF1CWXAK425024,20
1G6DC5EG5A0241147,1
TRURD38J691400930,19
1FTEW1CF0FF653523,5
WAUHF98P66A450078,4
1FMCU9D77AK267874,21
WDBWK5EA4AF897789,15
1GKS1AE05DR869557,13
SAJWA6BU0F8608901,29
KNAFX5A83E5258298,27
JTHBL5EF4B5045523,4
JA4AD3A32FZ908788,4
WAUXL58E44A407061,20
JH4DC53822C846394,11
1C4RDHAG6CC860901,22
KMHHT6KD5DU375390,27
KMHTC6AD7FU419436,4
WA1CMAFE6ED037932,4
WDDHF0EB0EA380444,17
KM8NU4CC7BU583374,2
2T1BPRHE4FC243253,9
3VWA17AU4FM266670,19
WAUVC58E63A919782,1
WBALW7C52CC343887,5
WA1WMAFE7ED708201,21
4USBT53594L317696,16
1FTSW2B52AE191417,3
1N6AD0CW0EN552694,7
5J8TB2H5XCA113554,3
1VWAP7A38EC727942,10
WBAWC3C50AP380893,30
JN8AE2KP5D9891579,19
1C3CDFAA5DD323555,24
5GAKVBED1CJ590811,11
SCFEBBCF3BG195714,21
SCBBR93W678082916,12
WAUDF68E25A308112,2
1G6KD57Y08U745540,10
WBAPT7C58AC221364,1
WBABW53435P366338,16
WBA3C1C5XDF949511,15
JH4CL96924C940060,30
WAUFEAFM8BA663726,8
1GYFC56239R496213,9
WAUBF78E87A229124,12
5LMCJ1A98FU684710,28
JTDKN3DU0F0833993,1
WAURV78T29A211768,14
WDDHF2EB1DA679855,1
2HNYD28827H682182,6
1GD02ZCG0DZ957037,5
WBANN73567C490425,13
2C3CDXFG8FH731461,26
3GYT4NEF1BG031696,27
WUAUUAFG6BN709914,27
1GYS3DEF7DR879321,23
WAU3GBFC5DN612805,17
WVWAA7AH1AV391999,1
WAUFFAFL1CN960741,25
1FMHK7B84CG169239,20
JN1AZ4EH0DM315320,8
SCFHDDAJXCA673691,3
WAUCKAFR9AA452816,21
SALWR2VF6FA851577,5
1G6DC8EY3B0704379,1
WA1BY74L09D086716,23
WBABS53492J350820,23
JN1BY1AP3EM797737,21
WAUAF98E26A497883,7
YV4902BZ1B1744652,1
1FMJK1F57CE656154,3
KMHHT6KD3AU625253,16
JA4AP3AU5CZ872414,13
KNDJT2A54D7807572,22
JN1CV6EK1AM977768,22
3D73Y3CL3BG217950,10
2C3CDXJG1DH580029,19
3C3CFFCR6ET123132,17
WBA3D3C59EK052374,19
WBAUP93558V132143,4
WAUDFAFL8EN386746,10
2HNYD18441H573141,20
19UUA65606A237641,10
SAJWA4ECXDM432287,20
5UMBT93526L352527,27
3GYFNAEY0BS965690,20
19VDE1F50FE309195,4
JN8AF5MR0ET185038,17
WAUBF98E67A532169,10
WAU4FAFR5AA177955,4
5NPDH4AEXEH225760,13
KL4CJDSB2FB888273,17
5N1AA0NC0AN847718,15
1GYS3CEF6BR260748,4
YV440MBK7F1258779,8
WAUCFAFH9AN978223,5
5GAKRBKD8DJ454931,30
JN1AZ4EH8AM159944,16
5UXWX9C57F0456554,19
WAUFL54D81N713726,4
WAURD68D82A894166,9
1G6AK5SX2D0805061,1
1D7RW2BK5BS267177,30
JTHBE1KS2B0218537,28
WDDHH8JB6FB825991,2
WVWEU9AN9AE304098,26
WAUBF78E58A398504,20
1G6DP5E3XC0725609,12
19XFB2F53DE874391,11
1FTWW3CY3AE634593,27
3C4PDCAB4CT647092,14
1FTEW1CW7AF960583,8
1G6KS54Y92U025557,5
JN1CV6EK0EM070189,17
3GYFK66N35G001120,18
WBAKG7C54CE373311,1
SCFLDCFP4EG339920,28
1FBSS3BL1AD851344,23
5TDBW5G10BS409800,17
3C4PDDGG4FT573525,5
WA1VMBFE9DD815699,3
WAUSGAFB7AN727754,27
WBANV13548B051762,12
3D4PH9FG1BT131477,5
WAUGFAFR0BA368942,19
WBA3A9C51FK889214,23
1FA6P8AM7F5287246,6
1G6AL5SX2D0286784,5
137FA90391E431787,7
WAUKGAFB1AN750236,25
WUAUUAFG2F7193545,4
WAUDGBFL8DA462023,2
2G4WB55K321669300,5
JN8AZ2KR1CT920521,13
WAUNF78P77A013148,22
JN1AZ4EHXAM786712,5
19UUA66218A814059,16
JM1NC2MFXE0801310,16
1GD010CG6BF670119,19
1GKKRNED4CJ981704,11
WBA3B3G57EN927806,7
1GYUCFEJ5AR917018,9
WBAEP33434P143343,22
JH4CL95835C785187,13
WAUEH98E98A276926,18
JH4NA21691T594314,8
JN8AZ2KRXCT366945,15
3D7JB1EP4BG727480,15
JN1CV6EK8FM242907,18
JH4NA21611T922700,1
JN1BJ0HP9DM511876,24
JN8AE2KP9E9791888,21
1D4RE5GG2BC730103,7
JH4CL95978C742257,25
WBA3B5G56EN160543,3
WVWBB7AJ1DW724401,27
WBA3V7C56FP572413,24
WAULC58E33A397572,9
1GD21ZCG5CZ838426,29
KNDJT2A58D7005283,17
YV1982BW9A1012800,5
5UXWX7C5XE0645461,29
WAU4FAFL6CA836799,26
1GYS4CKJ3FR089002,10
WAUPEAFM1DA399949,16
WA1CGAFE9ED720697,5
WBADR63451G921399,23
SCBCP73W09C185652,15
WAUFFAFL5EA673574,16
1G4GE5GD4BF071655,27
1D7CE3GK9AS953728,14
WBAUT9C59AA197876,1
WAU3GAFR6EA888014,8
KMHTC6AD5EU057671,17
3N1AB6AP6AL323439,26
WBAAZ33483P482185,17
SAJWJ0FF6F8710003,17
WAUVT68E62A317677,30
SCBDU3ZA4CC425049,11
WP0CA2A84AU388516,22
4T1BF3EK1AU820855,27
WAUDG98EX6A741600,22
1HGCP2F39CA386777,21
3N1CN7AP6EK985071,2
2G4WS52J741538224,25
1G4GA5EC8AF350756,14
3VW4A7AT3DM217235,13
WAUJC58E25A385455,4
2C4JRGAG5ER158149,6
1FTMF1EW9AF060423,16
WBAGN83574D326881,4
TRUSX28N111953687,19
WBAHN03506D583440,21
3VWML7AJ7EM873769,12
YV4852CT8A1782725,28
WA1VMBFE8CD375585,12
WBA6B2C55FG889348,3
WA1DGAFP0EA929981,14
WAUDL64F25N950782,5
WVGAV3AX8DW361185,22
3LN6L2G95DR387826,16
WDDEJ7GB9CA289872,21
1FTEX1CM3BK818476,16
WAUAFAFL8EN978408,1
WAUUFAFHXDN171573,16
JTHDU1EF7C5437556,5
SALCP2BG6FH310560,18
19UUA66208A087271,2
WBA5A7C59FG024796,3
KMHTC6AD8DU634675,16
WA1LMBFEXED368938,1
WBA3A9C5XCF729921,2
3GTXCYEJ1AG237230,26
1GKS2GEJ9BR867042,10
1N4AA5AP1BC521472,21
